Part Number▲▼,Configuration▲▼,SingleSupplyMin.▲▼,SingleSupplyMax.▲▼,DualSupplyMin.▲▼,DualSupplyMax.▲▼,On-Resistance(Ω)▲▼,Is(off)Max.▲▼,tonMax.▲▼,QINJTyp.▲▼,XTALK&OIRR▲▼,Package▲▼,CS(on)(pF)▲▼,CS(off)(pF)▲▼,-3 dBBandwidth(MHz)▲▼,Image path
DG1408E,8:1 x 1,4.5,24,4.5,16.5,3.9,0.55,130,-31,-58,QFN-16 4x4,,13,55,
DG1409E,4:1 x 2,4.5,24,4.5,16.5,3.9,0.55,130,-103,-58,QFN-16 4x4,,13,90,
DG1411E,"SPST x 4, NC",4.5,24,4.5,16.5,1.6,12.5,140,-41,-104,QFN-16 4x4,,24,150,
DG1411E,"SPST x 4, NC",4.5,24,4.5,16.5,1.6,12.5,140,-41,-104,TSSOP-16,,24,150,
DG1412E,"SPST x 4, NC",4.5,24,4.5,16.5,1.6,12.5,140,-41,-104,QFN-16 4x4,,24,150,
DG1412E,"SPST x 4, NC",4.5,24,4.5,16.5,1.6,12.5,140,-41,-104,TSSOP-16,,24,150,
DG1413E,"SPST x 4, NC",4.5,24,4.5,16.5,1.6,12.5,140,-41,-104,QFN-16 4x4,,24,150,
DG1413E,"SPST x 4, NC",4.5,24,4.5,16.5,1.6,12.5,140,-41,-104,TSSOP-16,,24,150,
DG2001E,SPDT x 1,1.8,5.5,,,0.85,30,35,8,-63,TSOP-6,53,16,,
DG2002E,SPDT x 2,1.8,5.5,,,6,1.5,32,1,-77,SC-70-6,13,7,,
DG2012E,SPDT x 2,1.65,5.5,,,1,5,47,8,-41,SC-70-6,52,16,160,
DG2032E,SPDT x 2,1.8,5.5,,,2.5,5,45,-9,-55,QFN-12 3x3,23,7,226,
DG2034E,4:1 x 1,1.8,5.5,,,2.5,5,34,-2,-67,QFN-12 3x3,33,7,166,
DG2034E,4:1 x 1,1.8,5.5,,,2.5,5,34,-2,-67,MSOP-10,33,7,166,
DG213,"SPST x 4, Comp",13,36,7,22,60,0.5,130,1,-70,SO-16 (Narrow) AS,,,,
DG213,"SPST x 4, Comp",13,36,7,22,60,0.5,130,1,-70,Plastic DIP-16,,,,
DG213,"SPST x 4, Comp",13,36,7,22,60,0.5,130,1,-70,TSSOP-16,,,,
DG221B,"SPST x 4, Latch",13,18,7,18,90,5,550,20,-60,SO-16 (Narrow) AS,,,,
DG221B,"SPST x 4, Latch",13,18,7,18,90,5,550,20,-60,Plastic DIP-16,,,,
DG2501,Quad SPST,1.8,5.5,,,150,1,150,-0.7,-85,WCSP16 0.35mm,,2.9,510,
DG2502,Quad SPST,1.8,5.5,,,150,1,150,-0.7,-85,WCSP16 0.35mm,,2.9,510,
DG2503,Quad SPST,1.8,5.5,,,150,1,150,-0.7,-85,WCSP16 0.35mm,,2.9,510,
DG2517E,SPDT x 2,1.8,5.5,,,2.5,5,45,-9,-55,DFN-10,23,7,226,
DG2517E,SPDT x 2,1.8,5.5,,,2.5,5,45,-9,-55,MSOP-10,23,7,226,
DG2519E,SPDT x 2,1.8,5.5,,,2.5,5,45,-10.2,-58,DFN-10,24,7,222,
DG2519E,SPDT x 2,1.8,5.5,,,2.5,5,45,-10.2,-58,MSOP-10,24,7,222,
DG2523,DPDT x 2,1.8,5.5,,,0.4,1,60,-19,-55,QFN-16 3 x 3,26,14.5,310,
DG2524,SPDT x 4,1.8,5.5,,,0.4,1,60,-19,-55,QFN-16 3 x 3,26,14.5,310,
DG2525,DPDT x 2,1.8,5.5,,,0.37,5,60000,-19,-55,miniQFN-16 (0.55mm),26,14.5,310,
DG2535E,SPDT x 2,1.65,5.5,,,0.25,8,78,,-70,MSOP-10,120,40,120,
DG2535E,SPDT x 2,1.65,5.5,,,0.25,8,78,,-70,DFN-10,120,40,120,
DG2592,,1.6,5.5,,,,,,,,miniQFN-10,,,,
DG2715E,"SPST x 1, NO",1.8,5.5,,,0.7,-5,25,-7,-57,SC-70-5,73,29,,
DG2716E,"SPST x 1, NC",1.8,5.5,,,0.7,5,25,-7,-57,SC-70-5,73,29,,
DG2723,SPDT x 2,2.7,4.3,,,8,100,30,0.5,-45,miniQFN-10,6,2,700,
DG2730,DPDT x 1,2.7,4.3,,,7,100,30,0.5,-45,miniQFN-10,6.5,2.7,900,
DG2733E,SPDT x 2,1.65,5.5,,,0.25,8,78,,-70,DFN-10,120,40,120,
DG2733E,SPDT x 2,1.65,5.5,,,0.25,8,78,,-70,MSOP-10,120,40,120,
DG2735A,SPDT x 2,1.65,4.3,,,0.6,10,75,,-70,miniQFN-10,168,52,30,
DG2750,SPDT x 2,1.8,5,,,1,50,1350,4,-60.8,miniQFN-10,81,30,34,
DG2788A,DPDT x 2,1.8,5.5,,,0.37,0.5,50,-245,-56,miniQFN-16 (0.55mm),26,14.5,338,
DG300B,"SPST x 2, NO",5,36,5,22,15,5,150,8,-62,Plastic DIP-14,40,14,,
DG301B,"DPST, comp",5,36,5,22,15,5,150,8,-62,Plastic DIP-14,40,14,,
DG302B,"DPST x 2, NO",5,36,5,22,15,5,150,8,-62,Plastic DIP-14,40,14,,
DG303B,"DPST x 2, comp",5,36,5,22,15,5,150,8,-62,Plastic DIP-14,40,14,,
DG303B,"DPST x 2, comp",5,36,5,22,15,5,150,8,-62,SO-14 (narrow) AS,40,14,,
DG3157E,SPDT x 1,1.65,5.5,,,8,100,,1.3,-61,SC-70-6,12,7,580,
DG3257,SPDT x 1,1.65,5.5,,,5,20,23,4,-32,UDFN-6,9,3,714,
DG333A,SPDT x 4,5,36,5,22,25,0.25,175,10,-72,SO-20 (wide),12,8,,
DG333A,SPDT x 4,5,36,5,22,25,0.25,175,10,-72,TSSOP-20,12,8,,
DG333AL,SPDT x 4,5,36,5,22,25,0.25,175,10,-72,TSSOP-20,12,8,,
DG333AL,SPDT x 4,5,36,5,22,25,0.25,175,10,-72,SO-20 (wide),12,8,,
DG401B,"SPST x 2, NO",5,36,5,22,23,0.5,150,60,-94.8,Plastic DIP-16,39,12,,
DG401B,"SPST x 2, NO",5,36,5,22,23,0.5,150,60,-94.8,SO-16 (narrow) AS,39,12,,
DG403B,"SPST x 4, comp, two pairs",5,36,5,22,23,0.5,150,60,-94.8,SO-16 (narrow) AS,39,12,,
