File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER0R1M11;0.10;0.70;0.80;46;48
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER0R15M11;0.15;0.75;0.85;55;38
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER0R22M11;0.22;0.83;0.90;35.5;36
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER0R33M11;0.33;1.09;1.18;33.5;26
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER0R47M11;0.47;1.60;1.69;31;22
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER0R56M11;0.56;1.71;1.81;30.5;23
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER0R68M11;0.68;2.05;2.16;29;20
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER0R82M11;0.82;2.46;2.60;24;19
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER1R0M11;1.0;2.67;2.82;24;18
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER1R5M11;1.5;4.20;4.43;20;14.5
IHLW-4040CF-11;image/small_inductors/34001.png;Low Profile, High Current Inductor - Winged Terminals;IHLW4040CFER2R2M11;2.2;6.83;7.21;16;14
