Series▲▼(all)OLED-048O064A-LPP3N00000OLED-050H016AOLED-050H016A-BPP5N00000OLED-050H016A-GPP5N00000OLED-050H016A-LPP5N00000OLED-050H016A-WPP5N00000OLED-064O032A-LPP3N00000OLED-064O048A-LPP3N00000OLED-076H016A-BPP5N00000OLED-076H016A-GPP5N00000OLED-076H016A-LPP5N00000OLED-076H016A-WPP5N00000OLED-096O064A-BPP3N00000OLED-096O064A-GPP3N00000OLED-096O064A-LPP3N00000OLED-096Y064A-BPP3N00000OLED-096Y064A-LPP3N00000OLED-096Y064A-WPP3N00000OLED-096Y064B-BPP3N00000OLED-096Y064B-LPP3N00000OLED-100H008AOLED-100H008A-BPP5N00000OLED-100H008A-GPP5N00000OLED-100H008A-LPP5N00000OLED-100H008A-WPP5N00000OLED-100H016A-BPP5N00000OLED-100H016A-GPP5N00000OLED-100H016A-LPP3N00000OLED-100H016A-LPP5N00000OLED-100H016A-RPP5N00000OLED-100H016A-WPP5N00000OLED-100H016C-BPP5N00000OLED-100H016C-GPP5N00000OLED-100H016C-LPP5N00000OLED-100H016C-WPP5N00000OLED-100H016DOLED-100H016D-BPP5N00000OLED-100H016D-GPP5N00000OLED-100H016D-LPP5N00000OLED-100H016D-WPP5N00000OLED-100H016E-BPP5N00000OLED-100H016E-GPP5N00000OLED-100H016E-LPP5N00000OLED-100H016E-WPP5N00000OLED-100H016FOLED-100H016F-BPP5N00000OLED-100H016F-GPP5N00000OLED-100H016F-LPP5N00000OLED-100H016F-RPP5N00000OLED-100H016F-WPP5N00000OLED-100H016H-GPP5N00000OLED-100H016H-LPP5N00000OLED-100H016H-SPP5N00000OLED-100H032AOLED-100H032A-BPP5N00000OLED-100H032A-GPP5N00000OLED-100H032A-LPP5N00000OLED-100H032A-WPP5N00000OLED-100H032B-BPP5N00000OLED-100H032B-GPP5N00000OLED-100H032B-LPP5N00000OLED-100H032B-WPP5N00000OLED-128F064Q-LPP3N00000OLED-128O032A-BPP3N00000OLED-128O032A-GPP3N00000OLED-128O032A-LPP3N00000OLED-128O032A-SPP3N00000OLED-128O032A-WPP3N00000OLED-128O032D-LPP3N00000OLED-128O032D-SPP3N00000OLED-128O032D-WPP3N00000OLED-128O032E-LNP3N00000OLED-128O032E-LPP3N00000OLED-128O032F-LPP3N00000OLED-128O032F-WPP3N00000OLED-128O064A-LNP3N00000OLED-128O064D-BPP3N00000OLED-128O064D-GPP3N00000OLED-128O064D-LPP3N00000OLED-128O064D-WPP3N00000OLED-128O064F-GPP3N00000OLED-128O064F-LPP3N00000OLED-128O064F-WPP3N00000OLED-128O064G-GPP3N00000OLED-128O064G-LPP3N00000OLED-128O064G-SPP3N00000OLED-128O064G-WPP3N00000OLED-128O064H-GPP3N00000OLED-128O064H-LPP3N00000OLED-128O064H-SPP3N00000OLED-128O064H-WPP3N00000OLED-128O064J-GPP3N00000OLED-128O064J-LPP3N00000OLED-128O064J-SPP3N00000OLED-128O064J-WPP3N00000OLED-200H016AOLED-200H016A-GPP5N00000OLED-200H016A-LPP5N00000OLED-256Y064A-BPP3N00000OLED-256Y064A-GPP3N00000OLED-256Y064A-LPP3N00000OLED-256Y064A-RPP3N00000OLED-256Y064B-GPP3N00000OLED-256Y064B-LPP3N00000OLED-256Y064B-SPP3N00000OLED-256Y064B-WPP3N00000OLED-256Y064D-GPP3N00000OLED-256Y064D-LPP3N00000,Type(V)▲▼(all)Graphicgraphic,Display Format▲▼(all)48 x 64 dots50 x 16 dots64 x 32 dots64 x 48 dots76 x 16 dots96 x 64 dots100 x 8 dots100 x 16 dots100 x 32 dots128 x 32 dots128 x 64 dots200 x 16 dots256 x 64 dots,mm(W x H mm)▲▼(all)13.90 x 22.0 x 1.2614.5 x 11.6 x 1.2618.46 x 18.10 x 1.324.9 x 22.95 x 1.6526.7 x 19.26 x 1.6530.0 x 11.5 x 1.4533.4 x 14.5 x 1.6533.59 x 23.62 x 1.6541.8 x 27.9 x 1.842.04 x 27.22 x 1.4555.7 x 32.0 x 11.0 (max.)58.0 x 32.0 x 10.0 (max.)60.50 x 37.00 x 2.1562.0 x 24.0 x 2.3575.0 x 52.7 x 8.580.0 x 36.0 x 10.0 (max.)84.0 x 25.8 x 2.0584.0 x 44.0 x 10.0 (max.)85.0 x 30.0 x 10.0 (max.)85.0 x 36.0 x 10.0 (max.)88.0 x 27.8 x 2.0589.7 x 47.2 x 3.498.0 x 60.0 x 10.0 (max.)116.0 x 37.0 x 9.8 (max.)146.0 x 45.0 x 2.05180.0 x 40.0 x 9.3180.0 x 40.0 x 9.3 (max.)182.0 x 38.5 x 9.3 (max.),mm(W x H mm)▲▼(all)12.14 x 16.3012.58 x 6.5815.42 x 12.0621.953 x 15.42423.938 x 12.05824.384 x 7.58425.49 x 17.6527.68 x 7.8037.05 x 19.5238.0 x 16.038.45 x 20.2146.0 x 14.557.01 x 28.9157.01 x 29.4957.02 x 15.1063.41 x 32.6966.0 x 16.071.104 x 19.26477.0 x 25.277.0 x 25.2078.78 x 21.1885.0 x 18.6137.65 x 35.89149.0 x 23.0154.4 x 16.5154.4 x 16.50,mm(W x H mm)▲▼(all)-n/a,mm(W x H mm)▲▼(all)0.148 x 0.1480.152 x 0.1520.153 x 0.1530.176 x 0.1760.185 x 0.1850.186 x 0.1880.198 x 0.2080.215 x 0.2150.248 x 0.2480.249 x 0.2490.255 x 0.2550.278 x 0.2780.40 x 0.400.408 x 0.3880.45 x 0.450.45 x 0.600.5 x 0.50.50 x 0.500.54 x 0.550.55 x 0.650.55 x 0.750.56 x 0.660.57 x 0.650.60 x 0.651.12 x 1.12,mm(W x H mm)▲▼(all)0.17 x 0.170.175 x 0.1750.200 x 0.2000.208 x 0.2100.210 x 0.2100.220 x 0.2300.245 x 0.2450.27 x 0.270.270 x 0.2700.274 x 0.2740.285 x 0.2850.3 x 0.30.300 x 0.3000.43 x 0.410.43 x 0.430.48 x 0.480.53 x 0.530.55 x 0.700.59 x 0.600.60 x 0.700.60 x 0.800.62 x 0.700.65 x 0.701.22 x 1.22,Duty▲▼(all)1/81/161/321/481/64,Built-In Controller▲▼(all)OLE D-0010OLED-0010SSD1305SSD1305ZSSD1306SSD1306BZSSD1309SSD1309ZSSD1309ZCSSD1322SSD1325SSD1325Z1,Yellow▲▼(all)-YYes,Green▲▼(all)-.YYes,Red▲▼(all)-YYes,Blue▲▼(all)-YYes,White▲▼(all)-YYes,Image path
OLED-048O064A-LPP3N00000,graphic,48 x 64 dots,13.90 x 22.0 x 1.26,12.14 x 16.30,-,0.198 x 0.208,0.220 x 0.230,1/64,SSD1306BZ,Yes,-,-,-,-,
OLED-050H016A,Graphic,50 x 16 dots,58.0 x 32.0 x 10.0 (max.),38.0 x 16.0,-,0.56 x 0.66,0.60 x 0.70,1/16,OLED-0010,Y,Y,Y,Y,Y,
OLED-050H016A-BPP5N00000,graphic,50 x 16 dots,58.0 x 32.0 x 10.0 (max.),38.0 x 16.0,-,0.56 x 0.66,0.60 x 0.70,1/16,OLED-0010,-,-,-,Yes,-,
OLED-050H016A-GPP5N00000,graphic,50 x 16 dots,58.0 x 32.0 x 10.0 (max.),38.0 x 16.0,-,0.56 x 0.66,0.60 x 0.70,1/16,OLED-0010,-,Yes,-,-,-,
OLED-050H016A-LPP5N00000,graphic,50 x 16 dots,58.0 x 32.0 x 10.0 (max.),38.0 x 16.0,-,0.56 x 0.66,0.60 x 0.70,1/16,OLED-0010,Yes,-,-,-,-,
OLED-050H016A-WPP5N00000,graphic,50 x 16 dots,58.0 x 32.0 x 10.0 (max.),38.0 x 16.0,-,0.56 x 0.66,0.60 x 0.70,1/16,OLED-0010,-,-,-,-,Yes,
OLED-064O032A-LPP3N00000,graphic,64 x 32 dots,14.5 x 11.6 x 1.26,12.58 x 6.58,-,0.153 x 0.153,0.175 x 0.175,1/32,SSD1306BZ,Yes,-,-,-,-,
OLED-064O048A-LPP3N00000,graphic,64 x 48 dots,18.46 x 18.10 x 1.3,15.42 x 12.06,-,0.185 x 0.185,0.210 x 0.210,1/48,SSD1306BZ,Yes,-,-,-,-,
OLED-076H016A-BPP5N00000,graphic,76 x 16 dots,55.7 x 32.0 x 11.0 (max.),46.0 x 14.5,-,0.45 x 0.60,0.55 x 0.70,1/16,OLE D-0010,-,-,-,Yes,-,
OLED-076H016A-GPP5N00000,graphic,76 x 16 dots,55.7 x 32.0 x 11.0 (max.),46.0 x 14.5,-,0.45 x 0.60,0.55 x 0.70,1/16,OLE D-0010,-,Yes,-,-,-,
OLED-076H016A-LPP5N00000,graphic,76 x 16 dots,55.7 x 32.0 x 11.0 (max.),46.0 x 14.5,-,0.45 x 0.60,0.55 x 0.70,1/16,OLED-0010,Yes,-,-,-,-,
OLED-076H016A-WPP5N00000,graphic,76 x 16 dots,55.7 x 32.0 x 11.0 (max.),46.0 x 14.5,-,0.45 x 0.60,0.55 x 0.70,1/16,OLE D-0010,-,-,-,-,Yes,
OLED-096O064A-BPP3N00000,graphic,96 x 64 dots,24.9 x 22.95 x 1.65,21.953 x 15.424,-,0.186 x 0.188,0.208 x 0.210,1/64,OLE D-0010,-,-,-,Yes,-,
OLED-096O064A-GPP3N00000,graphic,96 x 64 dots,24.9 x 22.95 x 1.65,21.953 x 15.424,-,0.186 x 0.188,0.208 x 0.210,1/64,OLE D-0010,-,Yes,-,-,-,
OLED-096O064A-LPP3N00000,graphic,96 x 64 dots,24.9 x 22.95 x 1.65,21.953 x 15.424,-,0.186 x 0.188,0.208 x 0.210,1/64,SSD1305Z,Yes,-,-,-,-,
OLED-096Y064A-BPP3N00000,graphic,96 x 64 dots,33.59 x 23.62 x 1.65,25.49 x 17.65,-,0.215 x 0.215,0.245 x 0.245,1/64,OLE D-0010,-,-,-,Yes,-,
OLED-096Y064A-LPP3N00000,graphic,96 x 64 dots,33.59 x 23.62 x 1.65,25.49 x 17.65,-,0.215 x 0.215,0.245 x 0.245,1/64,OLE D-0010,Yes,-,-,-,-,
OLED-096Y064A-WPP3N00000,graphic,96 x 64 dots,33.59 x 23.62 x 1.65,25.49 x 17.65,-,0.215 x 0.215,0.245 x 0.245,1/64,OLE D-0010,-,-,-,-,Yes,
OLED-096Y064B-BPP3N00000,graphic,96 x 64 dots,33.59 x 23.62 x 1.65,25.49 x 17.65,-,0.215 x 0.215,0.245 x 0.245,1/64,OLE D-0010,-,-,-,Yes,-,
OLED-096Y064B-LPP3N00000,graphic,96 x 64 dots,33.59 x 23.62 x 1.65,25.49 x 17.65,-,0.215 x 0.215,0.245 x 0.245,1/64,OLE D-0010,Yes,-,-,-,-,
OLED-100H008A,Graphic,100 x 8 dots,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,-,0.55 x 0.75,0.60 x 0.80,1/8,OLED-0010,Y,Y,Y,Y,Y,
OLED-100H008A-BPP5N00000,graphic,100 x 8 dots,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,n/a,0.55 x 0.75,0.60 x 0.80,1/8,OLED-0010,-,-,-,Yes,-,
OLED-100H008A-GPP5N00000,graphic,100 x 8 dots,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,n/a,0.55 x 0.75,0.60 x 0.80,1/8,OLED-0010,-,Yes,-,-,-,
OLED-100H008A-LPP5N00000,graphic,100 x 8 dots,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,n/a,0.55 x 0.75,0.60 x 0.80,1/8,OLED-0010,Yes,-,-,-,-,
OLED-100H008A-WPP5N00000,graphic,100 x 8 dots,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,n/a,0.55 x 0.75,0.60 x 0.80,1/8,OLED-0010,-,-,-,-,Yes,
OLED-100H016A-BPP5N00000,graphic,100 x 16 dots,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,-,0.55 x 0.65,0.60 x 0.70,1/16,OLE D-0010,-,.,-,Yes,-,
OLED-100H016A-GPP5N00000,graphic,100 x 16 dots,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,-,0.55 x 0.65,0.60 x 0.70,1/16,OLE D-0010,-,Yes,-,-,-,
OLED-100H016A-LPP3N00000,graphic,100 x 16 dots,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,-,0.55 x 0.65,0.60 x 0.70,1/16,OLED-0010,Yes,-,-,-,-,
OLED-100H016A-LPP5N00000,graphic,100 x 16 dots,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,-,0.55 x 0.65,0.60 x 0.70,1/16,OLE D-0010,Yes,-,-,-,-,
OLED-100H016A-RPP5N00000,graphic,100 x 16 dots,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,-,0.55 x 0.65,0.60 x 0.70,1/16,OLE D-0010,-,-,Yes,-,-,
