Series▲▼;Product Image;Description▲▼;Mounting▲▼;Resistance at 25 °C(Ω)▲▼;R25Tolerance(±%)▲▼;B25/85(K)▲▼;B25/85Tolerance(±%)▲▼;Operating Temperature Range(°C)▲▼;Image path
NTCACAP Series for Refrigerator;Enlarge;NTC Thermistors, Refrigerator Sensors;assembly;10000;2;3984;0.5;-55 to +60;image/thermistors/ntc/29095.png
NTCACAP Series for Refrigerator;Enlarge;NTC Thermistors, Refrigerator Sensors;assembly;2700;2;3984;0.5;-55 to +60;image/thermistors/ntc/29095.png
NTCACAP Series for Refrigerator;Enlarge;NTC Thermistors, Refrigerator Sensors;assembly;5000;1;3984;0.5;-55 to +60;image/thermistors/ntc/29095.png
NTCAFLEX05, NTCAFLEX15 Series;Enlarge;NTC Thermistors, Flex Foil Sensors;flat surface;10000;2;3435;1;-40 to +125;image/thermistors/ntc/29132.png
NTCAFLEX05, NTCAFLEX15 Series;Enlarge;NTC Thermistors, Flex Foil Sensors;flat surface;10000;3;3960;1;-40 to +125;image/thermistors/ntc/29132.png
NTCAFLEX05, NTCAFLEX15 Series;Enlarge;NTC Thermistors, Flex Foil Sensors;flat surface;47000;3;3960;1;-40 to +125;image/thermistors/ntc/29132.png
NTCAFLEX05, NTCAFLEX15 Series;Enlarge;NTC Thermistors, Flex Foil Sensors;flat surface;122000;1;3590;1;-40 to +125;image/thermistors/ntc/29132.png
NTCAIMME3;Enlarge;NTC Thermistors, Miniature Immersion Sensor;;10000;3;3984;0.5;-25 to +105;image/thermistors/ntc/29131.png
NTCAIMME3C90042;Enlarge;NTC Thermistors, Steel Capped Sensors;;12000;4;3730;1.5;-25 to +110;image/thermistors/ntc/29066.png
NTCALUG01A Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;4700;3;3984;0.5;-55 to +150;image/thermistors/ntc/29092.png
NTCALUG01A Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;1;3435;1;-55 to +150;image/thermistors/ntc/29092.png
NTCALUG01A Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;1;3984;0.5;-55 to +150;image/thermistors/ntc/29092.png
NTCALUG01A Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;2;3984;0.5;-55 to +150;image/thermistors/ntc/29092.png
NTCALUG01A Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;3;3984;0.5;-55 to +150;image/thermistors/ntc/29092.png
NTCALUG01A Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;5;3984;0.5;-55 to +150;image/thermistors/ntc/29092.png
NTCALUG01A Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;47000;3;4090;1.5;-55 to +150;image/thermistors/ntc/29092.png
NTCALUG01A Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;100000;1;4190;1.5;-55 to +150;image/thermistors/ntc/29092.png
NTCALUG01A Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;100000;2;4190;1.5;-55 to +150;image/thermistors/ntc/29092.png
NTCALUG01T;Enlarge;"NTC Thermistors, Standard Lug Sensors, 150 &#176;C";;10000;1;3984;0.5;-55 to +150;image/thermistors/ntc/29164.png
NTCALUG01T;Enlarge;"NTC Thermistors, Standard Lug Sensors, 150 &#176;C";;10000;1;3435;1;-55 to +150;image/thermistors/ntc/29164.png
NTCALUG01T;Enlarge;"NTC Thermistors, Standard Lug Sensors, 150 &#176;C";;10000;2;3984;0.5;-55 to +150;image/thermistors/ntc/29164.png
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;4700;2;3984;0.5;-55 to +125;image/thermistors/ntc/29094.png
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;4700;1;3984;0.5;-55 to +125;image/thermistors/ntc/29094.png
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;5000;2;3984;0.5;-55 to +125;image/thermistors/ntc/29094.png
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;10000;2;3984;0.5;-55 to +125;image/thermistors/ntc/29094.png
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;10000;1;3984;0.5;-55 to +125;image/thermistors/ntc/29094.png
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;10000;1;3435;1;-55 to +125;image/thermistors/ntc/29094.png
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;100000;3;4190;1.5;-55 to +125;image/thermistors/ntc/29094.png
NTCALUG03A / LUG39A Mini Lug Series;Enlarge;NTC Thermistors, Mini Lug Sensors;;10000;2;3984;0.5;-55 to +125;image/thermistors/ntc/29114.png
NTCALUG03A / LUG39A Mini Lug Series;Enlarge;NTC Thermistors, Mini Lug Sensors;;10000;3;3984;0.5;-55 to +125;image/thermistors/ntc/29114.png
NTCALUG03A / LUG39A Mini Lug Series;Enlarge;NTC Thermistors, Mini Lug Sensors;;12000;3;3740;1.5;-55 to +125;image/thermistors/ntc/29114.png
NTCALUG03A / LUG39A Mini Lug Series;Enlarge;NTC Thermistors, Mini Lug Sensors;;47000;3;3740;1.5;-55 to +125;image/thermistors/ntc/29114.png
NTCALUG54A M5;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;2;3984;0.5;-55 to +150;image/thermistors/ntc/29194.png
NTCALUG54A M5;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;2;3435;1;-55 to +150;image/thermistors/ntc/29194.png
NTCALUG54A M5;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;3;3984;0.5;-55 to +150;image/thermistors/ntc/29194.png
NTCALUG85A M6 Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;2;3984;0.5;-55 to +150;image/thermistors/ntc/29195.png
NTCALUG85A M6 Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;2;3435;1;-55 to +150;image/thermistors/ntc/29195.png
NTCALUG91A M4 Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;2;3984;0.5;-55 to +150;image/thermistors/ntc/29193.png
NTCALUG91A M4 Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;2;3435;1;-55 to +150;image/thermistors/ntc/29193.png
NTCALUG91A M4 Series;Enlarge;NTC Thermistors, Standard Lug Sensors;;10000;3;3984;0.5;-55 to +150;image/thermistors/ntc/29193.png
NTCAPIPE3C9;Enlarge;NTC Thermistors, Special Long Lead Sensors;;10000;3;3984;0.5;;image/thermistors/ntc/29166.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;1000;5;3528;0.5;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;2200;5;3977;0.75;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;4700;1;3977;0.75;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;4700;2;3977;0.75;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;4700;5;3977;0.75;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;10000;1;3977;0.75;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;10000;2;3977;0.75;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;10000;5;3977;0.75;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;12000;5;3740;1.5;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;15000;5;3740;1.5;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;47000;5;4090;1.5;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;100000;1;4190;1.5;-25 to +100;image/thermistors/ntc/29065.png
