Series▲▼(all)PTC305C SeriesPTCCL - 30 V / 60 V SeriesPTCCL - 145 V SeriesPTCCL - 265 V SeriesPTCCL - 600 V / 1000 V SeriesPTCEL High Energy SeriesPTCEL SeriesPTCHP12S - 265 V SeriesPTCLLPTCSL03PTCTLPTCTT SeriesPTCTZ;Product Image;Description▲▼(all)30 V to 60 V PTC Thermistors for Overload Protection145 V PTC Thermistors for Overload Protection265 V PTC Thermistors for Overload Protection600 V to 1000 V PTC Thermistors for Overload ProtectionPTC Thermistors for Heating ApplicationPTC Thermistors Motor Start PackagesPTC Thermistors, Inrush Current LimiterPTC Thermistors, Inrush Current Limiter High EnergyPTC Thermistors, Mini Radial Leaded for Over-Temperature ProtectionPTC Thermistors, Overload Protection for TelecommunicationPTC Thermistors, Time Delay for LightingSMD PTC Thermistors For Overload ProtectionTWIN Vertical SMD PTC Thermistors for Telecom Overload Protection;Resistance at25 °C (min.)(Ω)▲▼(all)0.31.322.18101520601001504001200;Resistance at25 °C (max.)(Ω)▲▼(all)507512024050062510001200150016003000;Tn/ Tsw(min.)(°C)▲▼(all)508090105110130135160n/a;Tn/ Tsw(max.)(°C)▲▼(all)115120130140145150170n/a;Iol/Iin(max.)(A)▲▼(all)125.58101323303640n/a;Vmax.(V)▲▼(all)30601452402654005006001200n/a;Operating Temperature(min.)(°C)▲▼(all)-10-20-400;Operating Temperature(max.)(°C)▲▼(all)70808595105165;Image path
PTC305C Series;Enlarge;PTC Thermistors Motor Start Packages;15;75;110;120;36;500;-10;80;image/thermistors/ptc/23086.png
PTCCL - 145 V Series;Enlarge;145 V PTC Thermistors for Overload Protection;1.3;240;135;140;13;145;0;70;image/thermistors/ptc/29086.png
PTCCL - 265 V Series;Enlarge;265 V PTC Thermistors for Overload Protection;2.1;3000;135;145;5.5;265;0;70;image/thermistors/ptc/29087.png
PTCCL - 30 V / 60 V Series;Enlarge;30 V to 60 V PTC Thermistors for Overload Protection;0.3;50;135;145;23;60;-40;85;image/thermistors/ptc/29085.png
PTCCL - 600 V / 1000 V Series;Enlarge;600 V to 1000 V PTC Thermistors for Overload Protection;400;1600;90;115;2;n/a;-20;85;image/thermistors/ptc/29072.png
PTCEL High Energy Series;Enlarge;PTC Thermistors, Inrush Current Limiter High Energy;150;1500;160;170;30;1200;-40;105;image/thermistors/ptc/29207.png
PTCEL Series;Enlarge;PTC Thermistors, Inrush Current Limiter;60;1000;130;140;40;1200;-40;105;image/thermistors/ptc/29165.png
PTCHP12S - 265 V Series;Enlarge;PTC Thermistors for Heating Application;1200;1200;50;150;n/a;265;-40;85;image/thermistors/ptc/29093.png
PTCLL;Enlarge;PTC Thermistors, Time Delay for Lighting;100;625;n/a;n/a;1;n/a;-20;105;image/thermistors/ptc/29071.png
PTCSL03;Enlarge;PTC Thermistors, Mini Radial Leaded for Over-Temperature Protection;20;120;80;150;n/a;30;-40;165;image/thermistors/ptc/29160.png
PTCTL;Enlarge;PTC Thermistors, Overload Protection for Telecommunication;8;50;n/a;n/a;10;600;0;95;image/thermistors/ptc/29070.png
PTCTT Series;Enlarge;TWIN Vertical SMD PTC Thermistors for Telecom Overload Protection;10;50;105;130;8;240;-40;85;image/thermistors/ptc/29088.png
PTCTZ;Enlarge;SMD PTC Thermistors For Overload Protection;2;500;105;140;10;400;-40;85;image/thermistors/ptc/29068.png
