Series▲▼(all)148, 149248, 249P10P10LP11HP11LP11P, P11DP11S, P11AP12P13P13LP13SMP16, PA16P16F, PA16FP16S, PA16SP30LPE30PE60PRV4PRV6RV4L;Product Image;"Description▲▼(all)1/2"" (12.7 mm) Conductive Plastic and Cermet Potentiometer1/2"" (12.7 mm) Conductive Plastic and Cermet Potentiometers3/8"" Square Panel Potentiometer Miniature - Cermet - Fully Sealed12.5 mm Modular High Torque Panel Potentiometer12.5 mm Modular Panel Potentiometer Cermet (P11S) or Conductive Plastic Elements (P11A)12.5 mm Modular Panel Potentiometer High Dielectric StrengthFully Sealed Container Cermet Potentiometer Professional GradeFully Sealed Container Cermet Potentiometers Submarine ApplicationsFully Sealed Potentiometer Cermet or Conductive PlasticFully Sealed Potentiometer Professional GradeIndustrial PotentiometerKnob PotentiometerKnob Potentiometer With SwitchLong Life / Heavy Duty PotentiometerLong Life Cermet Potentiometer 2 Million CyclesLong Life Cermet Potentiometer up to 2 Million CyclesLong Life Potentiometer - 2 Million Cycles, Heavy Duty - Cermet, Fully SealedLong Life Potentiometer - 500 000 Cycles Miniature - Cermet - Fully SealedPower Panel 6 W Potentiometer";Multiple Modules▲▼(all)NoUp to 3 modulesUp to 4 modulesUp to 7 modules;Switch Module▲▼(all)n/aUpgrade foYes;Detent Module▲▼(all)n/aYes;"Special Electrical Laws▲▼(all)A: linearA: linear, L: logarithmicA: linear, L: logarithmic,
F: reverse logarithmicA: linear, L: logarithmic, F: reverse logarithmicA: linear, L: logarithmic, F: reverse logarithmic and others see specificationA: linear, L: logarithmic, F: reverse logarithmic and others see specificationsNo, only A: linear";Sealing Level▲▼(all)IP 50IP 64IP 67IP 68;Lifespan▲▼(all)1M cycles2M cycles10K cycles10K cycles (switch), 50 c10K cycles (switch), 50K25K cycle25K cycles50K cycles200K cycle500K cycles;Image path
148, 149;Enlarge;"1/2"" (12.7 mm) Conductive Plastic and Cermet Potentiometer";Up to 3 modules;Yes;n/a;"A: linear, L: logarithmic,
F: reverse logarithmic";IP 64;50K cycles;image/potentiometers/57040.png
248, 249;Enlarge;"1/2"" (12.7 mm) Conductive Plastic and Cermet Potentiometers";No;n/a;n/a;A: linear, L: logarithmic;IP 50;10K cycles;image/potentiometers/57054.png
P10;Enlarge;"3/8"" Square Panel Potentiometer Miniature - Cermet - Fully Sealed";No;n/a;n/a;No, only A: linear;IP 67;10K cycles;image/potentiometers/51030.png
P10L;Enlarge;Long Life Potentiometer - 500 000 Cycles Miniature - Cermet - Fully Sealed;No;n/a;n/a;No, only A: linear;IP 67;500K cycles;image/potentiometers/51057.png
P11H;Enlarge;12.5 mm Modular High Torque Panel Potentiometer;Up to 7 modules;Yes;n/a;A: linear;IP 64;50K cycles;image/potentiometers/51087.png
P11L;Enlarge;Long Life Cermet Potentiometer 2 Million Cycles;Up to 4 modules;Yes;Yes;A: linear, L: logarithmic, F: reverse logarithmic and others see specifications;IP 64;2M cycles;image/potentiometers/51060.png
P11P, P11D;Enlarge;12.5 mm Modular Panel Potentiometer High Dielectric Strength;Up to 7 modules;Yes;Yes;A: linear, L: logarithmic, F: reverse logarithmic and others see specification;IP 64;50K cycles;image/potentiometers/51059.png
P11S, P11A;Enlarge;12.5 mm Modular Panel Potentiometer Cermet (P11S) or Conductive Plastic Elements (P11A);Up to 7 modules;Yes;Yes;A: linear, L: logarithmic, F: reverse logarithmic and others see specification;IP 64;50K cycles;image/potentiometers/51031.png
P12;Enlarge;Fully Sealed Container Cermet Potentiometer Professional Grade;No;n/a;n/a;"A: linear, L: logarithmic,
F: reverse logarithmic";IP 67;25K cycles;image/potentiometers/51033.png
P13;Enlarge;Fully Sealed Container Cermet Potentiometer Professional Grade;No;n/a;n/a;"A: linear, L: logarithmic,
F: reverse logarithmic";IP 67;25K cycles;image/potentiometers/51034.png
P13L;Enlarge;Long Life Cermet Potentiometer up to 2 Million Cycles;No;n/a;n/a;A: linear, L: logarithmic, F: reverse logarithmic;IP 67;1M cycles;image/potentiometers/51065.png
P13SM;Enlarge;Fully Sealed Container Cermet Potentiometers Submarine Applications;No;n/a;n/a;A: linear, L: logarithmic, F: reverse logarithmic;IP 68;25K cycles;image/potentiometers/51064.png
P16, PA16;Enlarge;Knob Potentiometer;No;Upgrade fo;Yes;A: linear, L: logarithmic, F: reverse logarithmic;IP 67;50K cycles;image/potentiometers/51036.png
P16F, PA16F;Enlarge;Knob Potentiometer;No;Yes;Yes;A: linear, L: logarithmic, F: reverse logarithmic;IP 67;10K cycles (switch), 50 c;image/potentiometers/51090.png
P16S, PA16S;Enlarge;Knob Potentiometer With Switch;No;Yes;Yes;A: linear, L: logarithmic, F: reverse logarithmic;IP 67;10K cycles (switch), 50K;image/potentiometers/51063.png
P30L;Enlarge;Long Life Potentiometer - 2 Million Cycles, Heavy Duty - Cermet, Fully Sealed;No;n/a;n/a;A: linear, L: logarithmic, F: reverse logarithmic;IP 67;2M cycles;image/potentiometers/51056.png
PE30;Enlarge;Fully Sealed Potentiometer Professional Grade;No;n/a;Yes;"A: linear, L: logarithmic,
F: reverse logarithmic";IP 67;25K cycles;image/potentiometers/51037.png
PE60;Enlarge;Power Panel 6 W Potentiometer;No;n/a;n/a;A: linear, L: logarithmic, F: reverse logarithmic;IP 67;25K cycles;image/potentiometers/51005.png
PRV4;Enlarge;Industrial Potentiometer;No;n/a;Yes;"A: linear, L: logarithmic,
F: reverse logarithmic";IP 67;25K cycle;image/potentiometers/50004.png
PRV6;Enlarge;Fully Sealed Potentiometer Cermet or Conductive Plastic;No;n/a;n/a;A: linear, L: logarithmic, F: reverse logarithmic;IP 67;50K cycles;image/potentiometers/51035.png
RV4L;Enlarge;Long Life / Heavy Duty Potentiometer;No;n/a;Yes;A: linear;IP 67;200K cycle;image/potentiometers/50079.png
